order_id,order_date,product,category,region,channel,units,unit_price,cost,customer_id
100000,2024-01-01,Vacuum Cleaner,Home & Kitchen,East,Retail,3,185.53,110.0,1107
100001,2024-01-01,4K Webcam,Electronics,South,Online,2,86.06,44.0,1631
100002,2024-01-01,4K Webcam,Electronics,North,Retail,4,91.98,44.0,1248
100003,2024-01-01,4K Webcam,Electronics,South,Online,2,93.64,44.0,1223
100004,2024-01-01,Winter Jacket,Apparel,East,Marketplace,1,145.29,70.0,1228
100005,2024-01-01,Knife Set,Home & Kitchen,South,Retail,2,52.72,21.0,1366
100006,2024-01-01,Smartphone Case,Electronics,East,Online,2,17.8,6.0,1412
100007,2024-01-01,Running Shoes,Apparel,North,Online,3,94.07,40.0,1829
100008,2024-01-01,Yoga Mat,Sports,South,Retail,2,36.06,14.0,1732
100009,2024-01-01,Yoga Mat,Sports,Central,Retail,2,36.44,14.0,1738
100010,2024-01-01,Vacuum Cleaner,Home & Kitchen,North,Online,6,211.95,110.0,1666
100011,2024-01-01,Lipstick Set,Beauty,East,Online,1,27.5,11.0,1782
100012,2024-01-02,Hair Dryer,Beauty,East,Retail,5,65.33,33.0,1004
100013,2024-01-02,4K Webcam,Electronics,South,Online,4,82.04,44.0,1601
100014,2024-01-02,USB-C Charger,Electronics,North,Online,3,23.16,9.0,1124
100015,2024-01-02,Coffee Maker,Home & Kitchen,North,Online,2,117.8,64.0,2056
100016,2024-01-02,Coffee Maker,Home & Kitchen,West,Online,4,112.71,64.0,2194
100017,2024-01-02,4K Webcam,Electronics,Central,Online,2,81.73,44.0,1989
100018,2024-01-02,USB-C Charger,Electronics,Central,Online,2,23.75,9.0,1798
100019,2024-01-02,Lipstick Set,Beauty,East,Online,3,28.36,11.0,1960
100020,2024-01-02,Face Serum,Beauty,North,Marketplace,4,43.99,18.0,1504
100021,2024-01-03,Running Shoes,Apparel,West,Marketplace,3,94.44,40.0,1170
100022,2024-01-03,Denim Jeans,Apparel,East,Online,5,60.75,28.0,1625
100023,2024-01-03,Running Shoes,Apparel,West,Retail,5,83.25,40.0,1892
100024,2024-01-03,Coffee Maker,Home & Kitchen,South,Retail,3,121.23,64.0,1216
100025,2024-01-03,Water Bottle,Sports,West,Marketplace,4,18.04,5.0,2183
100026,2024-01-03,Vacuum Cleaner,Home & Kitchen,South,Online,3,201.15,110.0,1789
100027,2024-01-03,Face Serum,Beauty,Central,Online,2,45.44,18.0,1642
100028,2024-01-03,Coffee Maker,Home & Kitchen,South,Marketplace,3,118.23,64.0,1929
100029,2024-01-03,Denim Jeans,Apparel,North,Marketplace,3,66.51,28.0,1995
100030,2024-01-03,Winter Jacket,Apparel,Central,Online,4,137.0,70.0,1256
100031,2024-01-03,Winter Jacket,Apparel,West,Online,7,139.18,70.0,2108
100032,2024-01-04,Smartphone Case,Electronics,West,Retail,2,19.22,6.0,1394
100033,2024-01-04,Yoga Mat,Sports,Central,Retail,4,35.19,14.0,1734
100034,2024-01-04,Yoga Mat,Sports,West,Retail,2,34.26,14.0,1731
100035,2024-01-04,4K Webcam,Electronics,North,Online,3,90.82,44.0,1621
100036,2024-01-04,Hair Dryer,Beauty,South,Retail,5,68.9,33.0,1530
100037,2024-01-04,Vacuum Cleaner,Home & Kitchen,South,Online,1,186.5,110.0,2047
100038,2024-01-04,Face Serum,Beauty,North,Online,8,40.75,18.0,1490
100039,2024-01-04,4K Webcam,Electronics,East,Retail,7,92.9,44.0,1347
100040,2024-01-04,Coffee Maker,Home & Kitchen,Central,Online,2,121.17,64.0,2192
100041,2024-01-05,Cotton T-Shirt,Apparel,North,Marketplace,3,21.37,7.0,2132
100042,2024-01-05,4K Webcam,Electronics,North,Retail,3,84.46,44.0,1319
100043,2024-01-05,USB-C Charger,Electronics,North,Online,2,24.29,9.0,1624
100044,2024-01-05,Smartphone Case,Electronics,Central,Online,1,18.6,6.0,2012
100045,2024-01-06,Yoga Mat,Sports,Central,Marketplace,1,34.09,14.0,1953
100046,2024-01-06,Smartphone Case,Electronics,North,Retail,5,18.09,6.0,2088
100047,2024-01-06,Denim Jeans,Apparel,West,Online,2,61.08,28.0,1439
100048,2024-01-06,Bluetooth Speaker,Electronics,North,Online,3,58.36,27.0,1983
100049,2024-01-06,Denim Jeans,Apparel,North,Retail,2,62.02,28.0,1144
100050,2024-01-06,Face Serum,Beauty,West,Online,3,41.53,18.0,1952
100051,2024-01-06,Lipstick Set,Beauty,East,Online,5,27.95,11.0,1570
100052,2024-01-06,Water Bottle,Sports,North,Retail,3,19.05,5.0,1043
100053,2024-01-06,Yoga Mat,Sports,Central,Online,3,35.45,14.0,1403
100054,2024-01-06,Face Serum,Beauty,East,Online,7,45.26,18.0,1053
100055,2024-01-06,Coffee Maker,Home & Kitchen,South,Online,1,127.44,64.0,2194
100056,2024-01-06,Running Shoes,Apparel,West,Online,8,92.02,40.0,1796
100057,2024-01-06,Coffee Maker,Home & Kitchen,East,Online,4,118.97,64.0,2138
100058,2024-01-07,Bluetooth Speaker,Electronics,North,Online,2,62.29,27.0,1215
